round,set,trial,donor_ratio,concentration,annealing_t,spinspeed,sol_add_v_perc,date,channel,pce,jsc,voc,ff,status,filter_trial,note,design
1,11,a,1,8,90,6000,0.5,20240202,b,8.141,15.726,0.82,0.631,accept,accept,"Rejected for Spread, could keep",static
1,11,a,1,8,90,6000,0.5,20240202,c,8.599,14.855,0.81,0.715,accept,accept,"Rejected for Spread, could keep",static
1,11,a,1,8,90,6000,0.5,20240202,d,6.542,13.777,0.8,0.594,accept,accept,"Rejected for Spread, could keep",static
1,11,a,1,8,90,6000,0.5,20240202,e,-0.002,0.157,0.16,0.075,reject,accept,"Rejected for Spread, could keep",static
1,11,a,1,8,90,6000,0.5,20240202,f,4.026,15.612,0.53,0.487,accept,accept,"Rejected for Spread, could keep",static
1,11,b,1,8,90,6000,0.5,20240216,a,4.485,11.978,0.62,0.598,reject,accept,"Rejected for Spread, could keep",static
1,11,b,1,8,90,6000,0.5,20240216,b,7.637,12.55,0.83,0.726,accept,accept,"Rejected for Spread, could keep",static
1,11,b,1,8,90,6000,0.5,20240216,c,7.032,11.541,0.82,0.736,accept,accept,"Rejected for Spread, could keep",static
1,11,b,1,8,90,6000,0.5,20240216,d,5.799,10.778,0.82,0.649,reject,accept,"Rejected for Spread, could keep",static
1,11,b,1,8,90,6000,0.5,20240216,e,8.009,13.347,0.83,0.716,accept,accept,"Rejected for Spread, could keep",static
1,11,b,1,8,90,6000,0.5,20240216,f,8.368,13.663,0.83,0.731,accept,accept,"Rejected for Spread, could keep",static
1,11,c,1,8,90,6000,0.5,20240313,a,5.588,11.63,0.8,0.595,accept,accept,"Rejected for Spread, could keep",static
1,11,c,1,8,90,6000,0.5,20240313,b,6.853,12.131,0.8,0.699,accept,accept,"Rejected for Spread, could keep",static
1,11,c,1,8,90,6000,0.5,20240313,c,6.898,12.335,0.8,0.692,accept,accept,"Rejected for Spread, could keep",static
1,11,c,1,8,90,6000,0.5,20240313,d,3.152,12.255,0.48,0.531,reject,accept,"Rejected for Spread, could keep",static
1,11,c,1,8,90,6000,0.5,20240313,e,3.814,12.1,0.5,0.624,reject,accept,"Rejected for Spread, could keep",static
1,11,c,1,8,90,6000,0.5,20240313,f,2.739,12.429,0.41,0.532,reject,accept,"Rejected for Spread, could keep",static
1,11,c,1,8,90,6000,0.5,20240315,a,6.79,12.02,0.81,0.69,accept,accept,"Rejected for Spread, could keep",static
1,11,c,1,8,90,6000,0.5,20240315,b,7.722,13.417,0.81,0.703,accept,accept,"Rejected for Spread, could keep",static
