round,set,id,trial,donor_ratio,concentration,annealing_t,spinspeed,sol_add_v_perc,date,channel,pce,jsc,voc,ff,status,filter_trial,distance,distance_log,design
1,6,na,B,0.8,8,70,2500,2,20210929,B,5.71,10.2,0.78,0.681,ACCEPT,REJECT,,,sdoe
1,21,na,D,1.5,8,130,4500,1,20220517,F,5.69,10.8,0.77,0.648,ACCEPT,ACCEPT,,,sdoe
1,21,na,B,1.5,8,130,4500,1,20211006,A,5.65,10.6,0.81,0.631,ACCEPT,ACCEPT,,,sdoe
1,20,na,B,1.2,22,90,800,2,20211006,E,5.62,15,0.75,0.479,ACCEPT,ACCEPT,,,sdoe
1,18,na,A,1.2,16,55,4500,0.5,20210928,B,5.58,9.98,0.84,0.638,ACCEPT,REJECT,,,sdoe
1,21,na,D,1.5,8,130,4500,1,20220517,E,5.53,11.2,0.75,0.623,ACCEPT,ACCEPT,,,sdoe
1,20,na,C,1.2,22,90,800,2,20220208,A,5.52,16.6,0.76,0.416,ACCEPT,ACCEPT,,,sdoe
1,20,na,C,1.2,22,90,800,2,20220208,C,5.52,15.1,0.75,0.463,ACCEPT,ACCEPT,,,sdoe
1,17,na,A,1.2,12,130,2500,0,20210928,A,5.44,18.6,0.75,0.375,ACCEPT,REJECT,,,sdoe
1,21,na,D,1.5,8,130,4500,1,20220517,A,5.44,10.9,0.77,0.614,ACCEPT,ACCEPT,,,sdoe
1,18,na,A,1.2,16,55,4500,0.5,20210928,C,5.43,9.32,0.84,0.665,ACCEPT,REJECT,,,sdoe
1,18,na,A,1.2,16,55,4500,0.5,20210928,A,5.41,9.73,0.84,0.635,ACCEPT,REJECT,,,sdoe
2,50,na,A,0.484,8.5,90.2,5160,4.22,20240710,c,5.377,9.215,0.78,0.73,accept,accept,,,sobol32
1,3,na,A,0.5,16,90,2500,1,20210914,D,5.36,9.98,0.84,0.639,ACCEPT,REJECT,,,sdoe
2,50,na,A,0.484,8.5,90.2,5160,4.22,20240710,e,5.281,9.282,0.78,0.712,accept,accept,,,sobol32
2,53,na,A,0.859,20.5,68.9,1110,2.97,20240716,e,5.271,17.835,0.65,0.447,reject,accept,,,sobol32
1,21,na,D,1.5,8,130,4500,1,20220517,C,5.22,9.58,0.78,0.663,ACCEPT,ACCEPT,,,sdoe
1,21,na,C,1.5,8,130,4500,1,20220215,C,5.21,10.1,0.77,0.653,ACCEPT,ACCEPT,,,sdoe
1,16,na,C,1.2,8,110,1500,5,20220208,F,5.18,9.66,0.79,0.646,ACCEPT,REJECT,,,sdoe
2,50,na,A,0.484,8.5,90.2,5160,4.22,20240710,d,5.152,9.186,0.78,0.702,accept,accept,,,sobol32
2,50,na,A,0.484,8.5,90.2,5160,4.22,20240710,b,5.075,8.871,0.78,0.716,accept,accept,,,sobol32
1,6,na,D,0.8,8,70,2500,2,20220222,E,5.05,9.28,0.8,0.667,ACCEPT,REJECT,,,sdoe
1,11,na,B,1,8,90,6000,0.5,20211005,D,5.03,8.83,0.82,0.661,ACCEPT,ACCEPT,,,sdoe
1,6,na,B,0.8,8,70,2500,2,20210929,A,5,8.89,0.79,0.676,ACCEPT,REJECT,,,sdoe
1,11,na,D,1,8,90,6000,0.5,20220308,B,5,9.16,0.81,0.647,ACCEPT,REJECT,,,sdoe
1,18,na,A,1.2,16,55,4500,0.5,20210928,E,4.95,8.92,0.83,0.641,ACCEPT,REJECT,,,sdoe
1,11,na,C,1,8,90,6000,0.5,20220126,D,4.95,9.02,0.83,0.633,ACCEPT,ACCEPT,,,sdoe
1,6,na,D,0.8,8,70,2500,2,20220222,B,4.92,8.74,0.81,0.681,ACCEPT,REJECT,,,sdoe
1,11,na,D,1,8,90,6000,0.5,20220308,C,4.92,8.95,0.8,0.659,ACCEPT,REJECT,,,sdoe
1,18,na,A,1.2,16,55,4500,0.5,20210928,F,4.91,8.67,0.83,0.655,ACCEPT,REJECT,,,sdoe
1,17,na,A,1.2,12,130,2500,0,20210928,F,4.9,13.6,0.74,0.468,ACCEPT,REJECT,,,sdoe
1,16,na,C,1.2,8,110,1500,5,20220208,A,4.87,9.28,0.8,0.624,ACCEPT,REJECT,,,sdoe
2,30,na,A,0.812,12,98.1,5320,1.88,20240703,e,4.869,16.866,0.49,0.575,reject,accept,,,sobol32
